index,launch_datetime,rocket,rocket_state,flight_number,launch_site,launch_site_state,lsp,lsp_state,payload,payload_state,payload_perator,payload_orbit,payload_function,payload_decay,payload_outcome,year,table_n,flight_n
0,1952-01-30 20:45:00,Aerobee RTV-A-1a,United States,USAF 21,Holloman LC-A,United States,US Air Force,United States,Ionosphere 1,,AFCRC / University of Utah,Suborbital,Ionospheric,30 January,Launch failure,1952,1,1
0,1952-02-19 14:49:00,Aerobee RTV-A-1c,United States,USAF 22,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Utah,Suborbital,Airglow,19 February,Launch failure,1952,2,2
4,1952-02-19 17:00:00,Aerobee RTV-N-10,United States,NRL 7,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,19 February,Successful,1952,2,3
8,1952-02-29 14:40:00,Aerobee RTV-A-1,United States,USAF 23,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Utah,Suborbital,Airglow,29 February,Successful,1952,2,4
0,1952-04-22 17:28:00,Aerobee RTV-A-1,United States,USAF 24,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / Boston University,Suborbital,Ionospheric,22 April,Successful,1952,3,5
4,1952-04-30 13:30:00,Aerobee RTV-N-10,United States,NRL 8,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,30 April,Successful,1952,3,6
0,1952-05-01 14:59:00,Aerobee RTV-N-10,United States,NRL 9,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,1 May,Successful,1952,4,7
4,1952-05-01 15:42:00,Aerobee RTV-A-1,United States,USAF 25,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Rhode Island,Suborbital,Solar UV,1 May,Successful,1952,4,8
8,1952-05-05 13:44:00,Aerobee RTV-N-10,United States,NRL 10,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Cosmic Radiation / Solar Radiation,5 May,Successful,1952,4,9
12,1952-05-15 01:15:00,Aerobee XASR-SC-1,United States,SC 23,White Sands LC-35,United States,US Army,United States,Sphere,United States,SCEL / University of Michigan,Suborbital,Aeronomy,15 May,Successful,1952,4,10
16,1952-05-20 02:07:00,Aerobee XASR-SC-1,United States,SC 24,White Sands LC-35,United States,US Army,United States,Grenades,United States,USASC,Suborbital,Aeronomy,20 May,Successful,1952,4,11
20,1952-05-20 16:06:00,V-2,Nazi Germany,V-2 No. 59 / TF-2,White Sands LC-33,United States,US Army,United States,,,SCEL / University of Michigan,Suborbital,Aeronomy / Photography,20 May,Successful,1952,4,12
24,1952-05-21 15:15:00,Aerobee RTV-A-1,United States,USAF 26,Holloman LC-A,United States,US Air Force,United States,Aeromed 3,United States,AFCRL / WADC Aero-Medical Laboratory,Suborbital,Biological,21 May,Successful,1952,4,13
0,1952-06-06 17:30:00,Viking (second model),United States,,White Sands LC-33,United States,US Navy,United States,Viking 8,United States,NRL,Suborbital,Accidental launch,6 June,Launch failure,1952,5,14
4,1952-06-18 17:50:00,Aerobee RTV-A-1,United States,USAF 27,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Denver,Suborbital,Solar UV,18 June,Successful,1952,5,15
8,1952-06-30 14:32:00,Aerobee RTV-A-1,United States,USAF 28,Holloman LC-A,United States,US Air Force,United States,Airglow 1,United States,AFCRC,Suborbital,Sky Brightness,30 June,Successful,1952,5,16
0,1952-08-08 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,8 August,,1952,6,17
4,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,18
8,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,19
12,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,20
16,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,21
20,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,22
24,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,23
28,1952-08-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,6,24
32,1952-08-20 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,20 August,Successful,1952,6,25
35,1952-08-21 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,21 August,Successful,1952,6,26
38,1952-08-21 06:25:00,Deacon rockoon,United States,SUI 1,"USCGC Eastwind, Kane Basin",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,21 August,Partial failure,1952,6,27
42,1952-08-22 07:33:00,V-2,Nazi Germany,TF-3,White Sands LC-33,United States,US Army,United States,,,NRL / AFCRC / National Institutes of Health,Suborbital,Aeronomy / Cosmic Radiation / Solar X-Ray / Magnetic Field / Sky Brightness,22 August,Successful,1952,6,28
46,1952-08-24 03:34:00,Deacon rockoon,United States,SUI 2,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,24 August,Partial failure,1952,6,29
50,1952-08-25 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,25 August,Successful,1952,6,30
53,1952-08-26 18:53:00,Aerobee RTV-A-1a,United States,USAF 29,Holloman LC-A,United States,US Air Force,United States,Ionosphere 2,United States,AFCRC / University of Utah,Suborbital,Ionospheric,26 August,Launch failure,1952,6,31
57,1952-08-29 00:26:00,Deacon rockoon,United States,SUI 3,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,29 August,Spacecraft failure,1952,6,32
61,1952-08-29 07:36:00,Deacon rockoon,United States,SUI 4,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,29 August,Successful,1952,6,33
65,1952-08-29 18:15:00,Deacon rockoon,United States,SUI 5,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,29 August,Successful,1952,6,34
69,1952-08-31 21:10:00,Deacon rockoon,United States,SUI 6,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,31 August,Successful,1952,6,35
0,1952-09-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,7,36
4,1952-09-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,7,37
8,1952-09-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,7,38
12,1952-09-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,7,39
16,1952-09-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,Same day,,1952,7,40
20,1952-09-03 14:49:00,Aerobee RTV-N-10,United States,NRL 11,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Solar Radiation,3 September,Successful,1952,7,41
24,1952-09-04 09:17:00,Deacon rockoon,United States,SUI 7,"USCGC Eastwind, northern Baffin Bay",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,4 September,Successful,1952,7,42
28,1952-09-18 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,18 September,,1952,7,43
32,1952-09-19 15:49:00,V-2,Nazi Germany,TF-5,White Sands LC-33,United States,US Army,United States,,,SCEL / University of Michigan,Suborbital,Aeronomy,19 September,Launch failure,1952,7,44
36,1952-09-25 03:50:00,Aerobee XASR-SC-1,United States,SC 25,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,25 September,Successful,1952,7,45
0,1952-10-10 14:24:00,Aerobee RTV-A-1,United States,USAF 30,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Denver,Suborbital,Solar UV,10 October,Successful,1952,8,46
4,1952-10-22 14:35:00,Aerobee RTV-A-1,United States,USAF 31,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Michigan,Suborbital,Aeronomy,22 October,Successful,1952,8,47
8,1952-10-23 03:45:00,Aerobee XASR-SC-2,United States,SC 26,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,23 October,Successful,1952,8,48
12,1952-10-29 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,29 October,Successful,1952,8,49
15,1952-10-30 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,30 October,Successful,1952,8,50
18,1952-10-30 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,30 October,Successful,1952,8,51
0,1952-11-06 15:56:00,Aerobee RTV-A-1,United States,USAF 32,Holloman LC-A,United States,US Air Force,United States,Airglow 2,,AFCRC,Suborbital,Sky Brightness,6 November,Successful,1952,9,52
4,1952-11-21 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,21 November,Successful,1952,9,53
0,1952-12-11 23:47:00,Aerobee XASR-SC-1,United States,SC 29,White Sands LC-35,United States,US Army,United States,Sphere,United States,SCEL / University of Michigan,Suborbital,Aeronomy / Cosmic Radiation,11 December,Successful,1952,10,54
4,1952-12-12 19:38:00,Aerobee RTV-A-1,United States,USAF 33,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Colorado,Suborbital,Solar UV,12 December,Successful,1952,10,55
8,1952-12-15 21:38:00,Viking (second model),United States,,White Sands LC-33,United States,US Navy,United States,Viking 9,United States,NRL,Suborbital,Solar Radiation / Cosmic Radiation / Photography,15 December,Successful,1952,10,56
0,1953-02-10 21:09:00,Aerobee RTV-N-10,United States,NRL 12,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Aeronomy / Cosmic Radiation,10 February,Successful,1953,1,57
4,1953-02-12 07:09:00,Aerobee RTV-N-10,United States,NRL 13,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Aeronomy / Cosmic Radiation,12 February,Successful,1953,1,58
8,1953-02-18 06:50:00,Aerobee XASR-SC-2,United States,SC 27,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,18 February,Successful,1953,1,59
12,1953-02-18 17:42:00,Aerobee RTV-A-1a,United States,USAF 34,Holloman LC-A,United States,US Air Force,United States,,,AFCRC,Suborbital,Rocket performance test,18 February,Successful,1953,1,60
0,1953-03-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 March,Successful,1953,2,61
3,1953-03-05 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,5 March,Successful,1953,2,62
6,1953-03-15 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,15 March,Partial failure,1953,2,63
10,1953-03-18 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,18 March,Partial failure,1953,2,64
13,1953-03-19 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,19 March,Successful,1953,2,65
0,1953-04-02 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,2 April,Successful,1953,3,66
4,1953-04-08 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,8 April,Partial failure,1953,3,67
7,1953-04-14 15:47:00,Aerobee RTV-A-1a,United States,USAF 35,Holloman LC-A,United States,US Air Force,United States,,,AFCRC,Suborbital,Rocket performance test,14 April,Successful,1953,3,68
11,1953-04-19 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,19 April,Successful,1953,3,69
14,1953-04-23 19:33:00,Aerobee XASR-SC-2,United States,SC 30,White Sands LC-35,United States,US Army,United States,Sphere,United States,SCEL / University of Michigan,Suborbital,Aeronomy,23 April,Successful,1953,3,70
18,1953-04-24 10:19:00,Aerobee XASR-SC-2,United States,SC 28,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,24 April,Successful,1953,3,71
22,1953-04-24 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,24 April,Partial failure,1953,3,72
0,1953-05-11 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,11 May,Successful,1953,4,73
3,1953-05-13 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,13 May,Successful,1953,4,74
6,1953-05-20 14:04:00,Aerobee RTV-A-1a,United States,USAF 36,Holloman LC-A,United States,US Air Force,United States,Airglow 3,United States,AFCRC,Suborbital,Sky Brightness,20 May,Successful,1953,4,75
10,1953-05-21 15:57:00,Aerobee RTV-A-1a,United States,USAF 37,Holloman LC-A,United States,US Air Force,United States,Airglow 4,United States,AFCRC,Suborbital,Sky Brightness,21 May,Successful,1953,4,76
14,1953-05-23 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,23 May,Successful,1953,4,77
0,1953-06-26 19:10:00,Aerobee RTV-A-1a,United States,USAF 38,Holloman LC-A,United States,US Air Force,United States,Ionosphere 3,United States,AFCRC / University of Utah,Suborbital,Ionospheric,26 June,Successful,1953,5,78
4,1953-06-30 00:00:00,Viking (second model),United States,,White Sands LC-33,United States,US Navy,United States,Viking 10,United States,NRL,Suborbital,Aeronomy / Ionospheric,30 June,Launch Failure,1953,5,79
0,1953-07-01 17:52:00,Aerobee RTV-A-1a,United States,USAF 39,Holloman LC-A,United States,US Air Force,United States,Ionosphere 4,United States,AFCRC / University of Utah,Suborbital,Ionospheric,1 July,Successful,1953,6,80
4,1953-07-06 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,6 July,Successful,1953,6,81
7,1953-07-14 15:30:00,Aerobee RTV-A-1a,United States,USAF 40,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Rhode Island,Suborbital,Solar UV,14 July,Successful,1953,6,82
11,1953-07-18 22:27:00,Deacon Rockoon,United States,SUI 8,"USS Staten Island, Atlantic Ocean, 50 kilometres (31 mi) east of Boston",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,18 July,Launch failure,1953,6,83
15,1953-07-19 10:30:00,Deacon Rockoon,United States,SUI 9,"USS Staten Island, Atlantic Ocean, near Nova Scotia",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,1953,6,84
19,1953-07-19 15:53:00,Deacon Rockoon,United States,SUI 10,"USS Staten Island, Atlantic Ocean, near Nova Scotia",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,1953,6,85
23,1953-07-19 21:57:00,Deacon Rockoon,United States,SUI 11,"USS Staten Island, Atlantic Ocean, near Nova Scotia",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,19 July,Launch failure,1953,6,86
27,1953-07-22 09:47:00,Aerobee RTV-A-1a,United States,USAF 41,Holloman LC-A,United States,US Air Force,United States,,,AFCRC,Suborbital,Aeronomy,23 July,Successful,1953,6,87
31,1953-07-24 16:40:00,Deacon Rockoon,United States,SUI 12,"USS Staten Island, Labrador Sea",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,24 July,Launch failure,1953,6,88
35,1953-07-28 09:41:00,Deacon Rockoon,United States,SUI 13,"USS Staten Island, southern Davis Strait, near Baffin Island",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,28 July,Successful,1953,6,89
0,1953-08-03 18:28:00,Deacon Rockoon,United States,SUI 14,"USS Staten Island, Frobisher Bay",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,3 August,Successful,1953,7,90
4,1953-08-05 21:54:00,Deacon Rockoon,United States,NRL Rockoon 1,"USS Staten Island, southern Davis Strait, near Baffin Island",United States,US Navy,United States,,,NRL,Suborbital,Aeronomy,5 August,,1953,7,91
8,1953-08-06 15:07:00,Deacon Rockoon,United States,SUI 15,"USS Staten Island, Davis Strait",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,6 August,Successful,1953,7,92
12,1953-08-06 18:40:00,Deacon Rockoon,United States,SUI 16,"USS Staten Island, Davis Strait",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,6 August,Successful,1953,7,93
16,1953-08-08 15:09:00,Deacon Rockoon,United States,NRL Rockoon 2,"USS Staten Island, Baffin Bay",United States,US Navy,United States,,,NRL,Suborbital,Aeronomy,8 August,,1953,7,94
20,1953-08-09 05:54:00,Deacon Rockoon,United States,SUI 17,"USS Staten Island, Baffin Bay",United States,US Navy,United States,,,University of Iowa,Suborbital,Cosmic Radiation,9 August,Successful,1953,7,95
24,1953-08-09 19:15:00,Deacon Rockoon,United States,NRL Rockoon 3,"USS Staten Island, Baffin Bay",United States,US Navy,United States,,,NRL,Suborbital,Aeronomy,9 August,Launch failure,1953,7,96
28,1953-08-11 17:09:00,Deacon Rockoon,United States,NRL Rockoon 4,"USS Staten Island, Baffin Bay",United States,US Navy,United States,,,NRL,Suborbital,Aeronomy,11 August,,1953,7,97
32,1953-08-30 14:00:00,Deacon Rockoon,United States,SUI 18,"USCGC Eastwind, Labrador Sea",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,30 August,Launch failure,1953,7,98
36,1953-08-30 16:20:00,Deacon Rockoon,United States,SUI 19,"USCGC Eastwind, Labrador Sea",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,30 August,Launch failure,1953,7,99
40,1953-08-30 20:46:00,Deacon Rockoon,United States,SUI 20,"USCGC Eastwind, Labrador Sea",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,30 August,Successful,1953,7,100
0,1953-09-01 05:10:00,Aerobee XASR-SC-2,United States,SC 32,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,1 September,Successful,1953,8,101
4,1953-09-03 09:50:00,Deacon Rockoon,United States,SUI 21,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,1953,8,102
8,1953-09-03 11:51:00,Deacon Rockoon,United States,SUI 22,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,1953,8,103
12,1953-09-03 14:05:00,Deacon Rockoon,United States,SUI 23,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",United States,US Coast Guard,United States,,,University of Iowa,Suborbital,Cosmic Radiation,3 September,Successful,1953,8,104
16,1953-09-04 03:59:00,Deacon Rockoon,United States,NRL Rockoon 5,"USCGC Eastwind, Atlantic Ocean, east of Nova Scotia",United States,US Coast Guard,United States,,,NRL,Suborbital,Aeronomy,4 September,,1953,8,105
20,1953-09-04 15:51:00,Deacon Rockoon,United States,NRL Rockoon 6,"USCGC Eastwind, Atlantic Ocean, near Nova Scotia",United States,US Coast Guard,United States,,,NRL,Suborbital,Aeronomy,4 September,Launch Failure,1953,8,106
24,1953-09-05 05:35:00,Aerobee XASR-SC-1,United States,SC 33,White Sands LC-35,United States,US Army,United States,Grenades,United States,SCEL,Suborbital,Aeronomy,5 September,Successful,1953,8,107
28,1953-09-15 15:02:00,Aerobee RTV-A-1a,United States,USAF 42,Holloman LC-A,United States,US Air Force,United States,Airglow 5,United States,AFCRC,Suborbital,Sky Brightness,15 September,Launch failure,1953,8,108
32,1953-09-29 20:50:00,Aerobee RTV-A-1a,United States,SC 31,White Sands LC-35,United States,US Army,United States,Sphere,United States,SCEL / University of Michigan,Suborbital,Aeronomy,29 September,Successful,1953,8,109
0,1953-10-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 October,Successful,1953,9,110
3,1953-10-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 October,Successful,1953,9,111
6,1953-10-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 October,Successful,1953,9,112
9,1953-10-01 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 October,Successful,1953,9,113
12,1953-10-07 17:00:00,Aerobee RTV-A-1a,United States,USAF 43,Holloman LC-A,United States,US Air Force,United States,,,AFCRC / University of Colorado,Suborbital,Solar UV,7 October,Successful,1953,9,114
16,1953-10-10 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,10 October,Successful,1953,9,115
19,1953-10-16 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,16 October,Successful,1953,9,116
22,1953-10-17 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,17 October,Successful,1953,9,117
25,1953-10-19 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,19 October,Successful,1953,9,118
28,1953-10-20 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,20 October,Successful,1953,9,119
31,1953-10-24 00:00:00,R-2,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,24 October,Successful,1953,9,120
34,1953-10-26 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,26 October,Successful,1953,9,121
37,1953-10-27 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,27 October,Successful,1953,9,122
40,1953-10-28 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,28 October,Successful,1953,9,123
43,1953-10-28 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,28 October,Successful,1953,9,124
46,1953-10-30 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,30 October,Successful,1953,9,125
0,1953-11-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 November,Successful,1953,10,126
3,1953-11-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 November,Successful,1953,10,127
6,1953-11-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 November,Successful,1953,10,128
9,1953-11-01 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,1 November,Successful,1953,10,129
12,1953-11-02 18:32:00,Aerobee RTV-A-1a,United States,USAF 44,Holloman LC-A,United States,US Air Force,United States,Ionosphere 5,United States,AFCRC / University of Utah,Suborbital,Ionospheric,2 November,Successful,1953,10,130
16,1953-11-03 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,3 November,Successful,1953,10,131
19,1953-11-03 18:15:00,Aerobee RTV-A-1a,United States,USAF 45,Holloman LC-A,United States,US Air Force,United States,Ionosphere 6,United States,AFCRC / University of Utah,Suborbital,Ionospheric,3 November,Successful,1953,10,132
23,1953-11-12 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,12 November,Successful,1953,10,133
26,1953-11-15 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,15 November,Successful,1953,10,134
29,1953-11-15 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,15 November,Successful,1953,10,135
32,1953-11-17 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,17 November,Successful,1953,10,136
35,1953-11-19 22:40:00,Aerobee RTV-N-10,United States,NRL 14,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Solar X-Ray / Solar UV / Aeronomy,19 November,Successful,1953,10,137
39,1953-11-21 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,21 November,Successful,1953,10,138
42,1953-11-24 00:00:00,R-1,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,24 November,Successful,1953,10,139
45,1953-11-25 15:46:00,Aerobee RTV-N-10,United States,NRL 15,White Sands LC-35,United States,US Navy,United States,,,NRL,Suborbital,Solar X-Ray / Solar UV / Aeronomy,25 November,Successful,1953,10,140
49,1953-11-26 00:00:00,R-5,Soviet Union,,Kapustin Yar,Soviet Union,OKB-1,Soviet Union,,,OKB-1,Suborbital,Missile test,26 November,Partial failure,1953,10,141
