index,launch_datetime,rocket,rocket_state,flight_number,launch_site,launch_site_state,lsp,lsp_state,payload,payload_state,payload_perator,payload_orbit,payload_function,payload_decay,payload_outcome,year,table_n,flight_n
118,1969-03-26 12:30:00,Vostok-2M,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Meteor-1 1,Soviet Union,,Low Earth,Meteorology,26 March 2012,Successful,1969,1,6121
121,1969-03-27 10:40:00,Proton-K/D,Soviet Union,,Baikonur Site 81/23,Soviet Union,,Soviet Union,Mars 2M No.521,Soviet Union,,Areocentric,Mars orbiter,27 March 1969,Failure,1969,1,6122
125,1969-03-27 22:22:00,Atlas SLV-3C Centaur-D,United States,,Cape Canaveral LC-36A,United States,,United States,Mariner 7,United States,NASA,Heliocentric,Mars flyby,In orbit,Successful,1969,1,6123
128,1969-03-28 16:00:00,Kosmos-2I,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,Soviet Union,Kosmos 275 (DS-P1-I No.5),Soviet Union,RVSN,Low Earth,Radar calibration,7 February 1970,Successful,1969,1,6124
132,1969-04-02 10:33:00,Proton-K/D,Soviet Union,,Baikonur Site 81/24,Soviet Union,,Soviet Union,Mars 2M No.522,Soviet Union,,Areocentric,Mars orbiter and lander,2 April 1969,Failure,1969,1,6125
136,1969-04-04 10:20:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 276 (Zenit-4 No.55),Soviet Union,,Low Earth,Optical imaging,11 April 1969,Successful,1969,1,6126
139,1969-04-04 13:00:00,Kosmos-2I,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,Soviet Union,Kosmos 277 (DS-P1-Yu No.20),Soviet Union,,Low Earth,Radar calibration,6 July 1969,Successful,1969,1,6127
142,1969-04-09 13:00:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 278 (Zenit-2 No.73),Soviet Union,,Low Earth,Optical imaging,17 April 1969,Successful,1969,1,6128
145,1969-04-11 02:30:00,Molniya-M/Blok ML,Soviet Union,,Baikonur Site 1/5,Soviet Union,,Soviet Union,Molniya-1 No.11,Soviet Union,,Molniya,Communications,17 April 1974,Successful,1969,1,6129
148,1969-04-13 02:24:00,Atlas-SLV3A Agena-D,United States,,Cape Canaveral LC-13,United States,,United States,Canyon 2 (OPS 3148),United States,NRO,Geostationary,Reconnaissance,In orbit,Successful,1969,1,6130
151,1969-04-14 07:54:00,Thorad-SLV2G-Agena-D,United States,,Vandenberg SLC-2E,United States,,United States,Nimbus 3,United States,"NASA, NOAA",Low Earth,Meteorology,In orbit,Successful,1969,1,6131
151,1969-04-14 07:54:00,Thorad-SLV2G-Agena-D,United States,,Vandenberg SLC-2E,United States,,United States,SECOR-13,United States,US Army,Low Earth,Geodesy,In orbit,Successful,1969,1,6131
155,1969-04-15 08:14:00,Voskhod,Soviet Union,,Baikonur Site 31/6,Soviet Union,,Soviet Union,Kosmos 279 (Zenit-4 No.56),Soviet Union,,Low Earth,Optical imaging,23 April 1969,Successful,1969,1,6132
158,1969-04-15 17:30:00,Titan IIIB,United States,,Vandenberg SLC-4W,United States,,United States,KH-8 Gambit 3 (OPS 5310),United States,USAF,Low Earth,Optical imaging,30 April 1969,Successful,1969,1,6133
161,1969-04-23 09:55:00,Voskhod,Soviet Union,,Baikonur Site 1/5,Soviet Union,,Soviet Union,Kosmos 280 (Zenit-4M No.3),Soviet Union,,Low Earth,Optical imaging,6 May 1969,Successful,1969,1,6134
165,1969-05-02 01:46:00,Thorad-SLV2G-Agena-D,United States,,Vandenberg SLC-3W,United States,,United States,KH-4A 51 (OPS 1101),United States,CIA,Low Earth,Optical imaging,23 May 1969,Successful,1969,1,6135
165,1969-05-02 01:46:00,Thorad-SLV2G-Agena-D,United States,,Vandenberg SLC-3W,United States,,United States,P-11 (OPS 1721),United States,USAF,Low Earth,Reconnaissance,16 February 1970,Successful,1969,1,6135
169,1969-05-13 09:15:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 281 (Zenit-2 No.74),Soviet Union,,Low Earth,Optical imaging,21 May 1969,Successful,1969,1,6136
172,1969-05-18 16:49:00,Saturn V,United States,,KSC LC-39B,United States,NASA,United States,Apollo 10 CSM Charlie Brown,United States,NASA,Selenocentric,Crewed Lunar orbital flight,26 May 1969,Successful,1969,1,6137
172,1969-05-18 16:49:00,Saturn V,United States,,KSC LC-39B,United States,NASA,United States,Apollo 10 LM Snoopy,United States,NASA,Selenocentric,Test flight,In orbit,Successful,1969,1,6137
177,1969-05-20 08:40:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 282 (Zenit-4 No.57),Soviet Union,,Low Earth,Optical imaging,28 May 1969,Successful,1969,1,6138
180,1969-05-22 02:00:00,Delta M,United States,,Cape Canaveral LC-17A,United States,NASA,United States,Intelsat III F-4,United States,Intelsat,Geostationary,Communications,In orbit,Successful,1969,1,6139
183,1969-05-23 07:57:00,Titan IIIC,United States,,Cape Canaveral SLC-41,United States,,United States,"Vela 9, 10",United States,USAF,High Earth,Nuclear detection,In orbit,Successful,1969,1,6140
183,1969-05-23 07:57:00,Titan IIIC,United States,,Cape Canaveral SLC-41,United States,,United States,"OV5 5, 6, 9",United States,USAF,High Earth,Technology demonstration,In orbit,Successful,1969,1,6140
187,1969-05-27 12:59:00,Kosmos-2I,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,Soviet Union,Kosmos 283 (DS-P1-Yu No.21),Soviet Union,,Low Earth,Radar calibration,10 December 1969,Successful,1969,1,6141
190,1969-05-29 06:59:00,Voskhod,Soviet Union,,Baikonur Site 31/6,Soviet Union,,Soviet Union,Kosmos 284 (Zenit-4 No.58),Soviet Union,,Low Earth,Optical imaging,6 June 1969,Successful,1969,1,6142
194,1969-06-03 12:57:00,Kosmos-2I,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,Soviet Union,Kosmos 285 (DS-P1-Yu No.22),Soviet Union,,Low Earth,Radar calibration,7 October 1969,Successful,1969,1,6143
197,1969-06-03 16:49:00,Titan IIIB,United States,,Vandenberg SLC-4W,United States,,United States,KH-8 Gambit 3 (OPS 1077),United States,USAF,Low Earth,Optical imaging,14 June 1969,Successful,1969,1,6144
200,1969-06-05 14:42:00,Thorad-SLV2H Agena-D,United States,,Vandenberg SLC-3W,United States,,United States,OGO 6,United States,NASA,Low Earth,Research,12 October 1979,Successful,1969,1,6145
203,1969-06-14 04:00:00,Proton-K/Blok D,Soviet Union,,Baikonur Site 81/24,Soviet Union,,Soviet Union,Luna E-8-5 No. 402,Soviet Union,,Selenocentric,Lunar sample return,14 June 1969,Failure,1969,1,6146
207,1969-06-15 08:59:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 286 (Zenit-4 No.59),Soviet Union,,Low Earth,Optical imaging,23 June 1969,Successful,1969,1,6147
210,1969-06-21 08:47:00,Delta E1,United States,,Vandenberg SLC-2W,United States,,United States,Explorer 41 (IMP-G),United States,NASA,Highly elliptical,Magnetospheric research,In orbit,Successful,1969,1,6148
213,1969-06-24 06:50:00,Voskhod,Soviet Union,,Baikonur Site 31/6,Soviet Union,,Soviet Union,Kosmos 287 (Zenit-2 No.75),Soviet Union,,Low Earth,Optical imaging,2 July 1969,Successful,1969,1,6149
216,1969-06-27 06:59:00,Voskhod,Soviet Union,,Baikonur Site 1/5,Soviet Union,,Soviet Union,Kosmos 288 (Zenit-4 No.60),Soviet Union,,Low Earth,Optical imaging,5 July 1969,Successful,1969,1,6150
219,1969-06-29 03:15:00,Delta N,United States,,Cape Canaveral LC-17A,United States,,United States,Biosatellite_3,United States,NASA,Low Earth,Life science,7 July 1969,Successful,1969,1,6151
223,1969-07-02 07:04:00,Europa-1,Europe,,Woomera LA-6A,Australia,ELDO,Europe,STV-2,Europe,ELDO,,Test flight,2 July 1969,Failure,1969,1,6152
226,1969-07-03 20:18:00,N1/L3,Soviet Union,,Baikonur LC-110/38,Soviet Union,,Soviet Union,Zond L1S-2,Soviet Union,,Selenocentric,Test flight,3 July 1969,Failure,1969,1,6153
226,1969-07-03 20:18:00,N1/L3,Soviet Union,,Baikonur LC-110/38,Soviet Union,,Soviet Union,Dummy LK,Soviet Union,,Selenocentric,Mass simulator,3 July 1969,Failure,1969,1,6153
231,1969-07-10 09:00:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 289 (Zenit-4 No.61),Soviet Union,,Low Earth,Optical imaging,15 July 1969,Successful,1969,1,6154
234,1969-07-13 02:54:00,Proton-K/D,Soviet Union,,Baikonur Site 81/24,Soviet Union,,Soviet Union,Luna 15 (Ye-8-5 №401),Soviet Union,,Selenocentric,Lunar sample return,20 July 1969,Success,1969,1,6155
238,1969-07-16 13:32:00,Saturn V,United States,,KSC LC-39A,United States,NASA,United States,Apollo 11 CSM Columbia,United States,NASA,Selenocentric,Crewed Lunar orbital flight,24 July 1969,Successful,1969,1,6156
238,1969-07-16 13:32:00,Saturn V,United States,,KSC LC-39A,United States,NASA,United States,Apollo 11 LM Eagle,United States,NASA,Selenocentric,Crewed Lunar landing,In orbit,Successful,1969,1,6156
243,1969-07-22 12:30:00,Voskhod,Soviet Union,,Plesetsk Site 41/1,Soviet Union,,Soviet Union,Kosmos 290 (Zenit-2 No.76),Soviet Union,,Low Earth,Optical imaging,30 July 1969,Successful,1969,1,6157
246,1969-07-22 12:55:00,Molniya-M/Blok ML,Soviet Union,,Baikonur Site 1/5,Soviet Union,,Soviet Union,Molniya-1 No.12,Soviet Union,,Molniya,Communications,18 June 1971,Successful,1969,1,6158
249,1969-07-23 04:39:00,Thor-LV2F Burner-2,United States,,Vandenberg SLC-10W,United States,,United States,DSAP-4B F3 (OPS 1127),United States,"USAF, NRO",Low Earth,Meteorology,In orbit,Successful,1969,1,6159
252,1969-07-23 09:00:00,Kosmos-2I,Soviet Union,,Plesetsk Site 133/1,Soviet Union,,Soviet Union,DS-P1-Yu No.23,Soviet Union,,Low Earth,Radar calibration,23 July 1969,Failure,1969,1,6160
256,1969-07-24 01:30:00,Thorad-SLV2H-Agena-D,United States,,Vandenberg SLC-3W,United States,,United States,KH-4B 7 (OPS 3654),United States,CIA,Low Earth,Optical imaging,23 August 1969,Successful,1969,1,6161
259,1969-07-26 02:06:00,Delta M,United States,,Cape Canaveral LC-17A,United States,,United States,Intelsat III F-5,United States,Intelsat,Geostationary,Communications,14 October 1988,Failure,1969,1,6162
263,1969-07-31 10:19:00,Thorad-SLV2G-Agena-D,United States,,Vandenberg SLC-1W,United States,,United States,Strawman-2 (OPS 8285),United States,USAF,Low Earth,ELINT,4 January 1973,Successful,1969,1,6163
267,1969-08-06 05:40:00,Tsyklon-2,Soviet Union,,Baikonur Site 90/19,Soviet Union,,Soviet Union,Kosmos 291 (IS-GVM),Soviet Union,,Low Earth,Mass simulator,8 September 1969,Successful,1969,1,6164
271,1969-08-07 23:48:00,Proton-K/Blok D,Soviet Union,,Baikonur Site 81/23,Soviet Union,,Soviet Union,Zond 7,Soviet Union,,High Earth,Lunar flyby,13 August 1969,Successful,1969,1,6165
275,1969-08-09 07:52:00,Delta N,United States,,Cape Canaveral LC-17A,United States,,United States,OSO 6,United States,NASA,Low Earth,Solar observatory,7 March 1981,Successful,1969,1,6166
275,1969-08-09 07:52:00,Delta N,United States,,Cape Canaveral LC-17A,United States,,United States,PAC 1,United States,NASA,Low Earth,Technology demonstration,28 April 1977,Successful,1969,1,6166
279,1969-08-12 11:01:00,Atlas SLV-3C Centaur-D,United States,,Cape Canaveral LC-36A,United States,,United States,ATS-5,United States,NASA,Geosynchronous,Communications,In orbit,Successful,1969,1,6167
282,1969-08-13 22:00:00,Kosmos-3M,Soviet Union,,Plesetsk Site 132/2,Soviet Union,,Soviet Union,Kosmos 292 (Zaliv No.3),Soviet Union,,Low Earth,Navigation,In orbit,Successful,1969,1,6168
285,1969-08-16 11:59:00,Voskhod,Soviet Union,,Baikonur Site 31/6,Soviet Union,,Soviet Union,Kosmos 293 (Zenit-2M No.4) / Nauka 5KS L.1,Soviet Union,,Low Earth,Optical imaging,28 August 1969,Successful,1969,1,6169
