id,mechanics
242,Hand Management
242,Events
243,Dice Rolling
243,Critical Hits and Failures
243,Interrupts
243,Line of Sight
243,Grid Movement
243,Hexagon Grid
249,Voting
249,Simultaneous Action Selection
249,Player Elimination
257,Line of Sight
257,Hand Management
257,Point to Point Movement
257,Open Drafting
258,Hand Management
258,Set Collection
268,Set Collection
268,Tile Placement
268,Commodity Speculation
278,Open Drafting
278,Hand Management
278,Dice Rolling
278,Trading
287,Trading
287,Set Collection
299,Action Points
299,Dice Rolling
299,Modular Board
299,Line of Sight
299,Measurement Movement
299,Simulation
300,Modular Board
300,Open Drafting
300,Set Collection
313,Stock Holding
320,Square Grid
320,Tile Placement
320,Hand Management
320,End Game Bonuses
321,Modular Board
321,Map Reduction
321,Point to Point Movement
321,Race
327,Player Elimination
327,Real-Time
333,Take That
333,Tile Placement
337,Push Your Luck
337,Set Collection
337,Open Drafting
338,Trick-taking
338,Set Collection
339,Set Collection
339,Hand Management
340,Team-Based Game
340,Ladder Climbing
340,Hand Management
340,Trick-taking
344,Hand Management
344,Betting and Bluffing
352,Trick-taking
354,Hand Management
354,Trick-taking
357,Push Your Luck
357,Dice Rolling
357,Race
361,Hand Management
361,Resource to Move
364,Trading
364,Race
364,Pick-up and Deliver
364,Set Collection
364,Square Grid
366,Roll / Spin and Move
366,Dice Rolling
371,Team-Based Game
371,Hand Management
371,Set Collection
372,Set Collection
372,Melding and Splaying
372,Hand Management
372,Card Play Conflict Resolution
382,Hidden Roles
382,Roll / Spin and Move
384,Roll / Spin and Move
384,Hand Management
384,Dice Rolling
394,Hand Management
394,Network and Route Building
394,Area Majority / Influence
394,Open Drafting
394,Take That
398,Commodity Speculation
398,Hand Management
398,Open Drafting
398,Stock Holding
403,Modular Board
403,Flicking
403,Race
404,Simultaneous Action Selection
408,Area Movement
408,Secret Unit Deployment
421,Auction/Bidding
421,Market
421,Hexagon Grid
421,Investment
421,Ownership
421,Network and Route Building
423,Auction/Bidding
423,Tile Placement
423,Network and Route Building
423,Stock Holding
424,Network and Route Building
424,Hexagon Grid
424,Stock Holding
424,Auction/Bidding
431,Set Collection
431,Open Drafting
431,Area Majority / Influence
431,Hand Management
432,Simultaneous Action Selection
432,Score-and-Reset Game
432,Hand Management
436,Betting and Bluffing
436,Trick-taking
436,Predictive Bid
436,Grid Movement
437,Point to Point Movement
437,Modular Board
437,Map Deformation
438,Hidden Movement
438,Point to Point Movement
438,Secret Unit Deployment
438,Team-Based Game
442,Hand Management
442,Roll / Spin and Move
443,Paper-and-Pencil
444,Roll / Spin and Move
444,Race
444,Push Your Luck
444,Dice Rolling
444,Track Movement
463,Hand Management
463,Betting and Bluffing
463,Interrupts
463,Deck Construction
463,Closed Drafting
463,Income
464,Square Grid
464,Race
464,Grid Movement
466,Team-Based Game
466,Roll / Spin and Move
466,Point to Point Movement
472,Variable Player Powers
472,Role Playing
472,Rock-Paper-Scissors
472,Push Your Luck
472,Dice Rolling
472,Tile Placement
475,Auction: Turn Order Until Pass
475,Auction/Bidding
475,Hand Management
475,Network and Route Building
475,Open Drafting
475,Set Collection
478,Set Collection
478,Action Drafting
478,Income
478,Closed Drafting
478,Take That
478,Lose a Turn
481,Area Majority / Influence
481,Dice Rolling
481,Hand Management
481,Modular Board
481,Team-Based Game
481,Track Movement
483,Area Majority / Influence
483,Area Movement
483,Negotiation
483,Player Elimination
483,Prisoner's Dilemma
483,Simultaneous Action Selection
491,Open Drafting
491,Network and Route Building
491,Hand Management
491,Area Majority / Influence
492,Worker Placement
492,Set Collection
492,Betting and Bluffing
492,Auction/Bidding
492,Auction: Multiple Lot
494,Hand Management
494,Race
494,Track Movement
503,Hidden Victory Points
503,Chaining
503,Connections
503,Enclosure
503,Hexagon Grid
503,Network and Route Building
526,Hexagon Grid
526,Slide/Push
526,Static Capture
526,Grid Movement
527,Pattern Building
527,Grid Movement
528,Grid Movement
528,Set Collection
528,Map Reduction
531,Auction: Dutch
531,Auction: Dexterity
531,Tile Placement
531,Area Majority / Influence
531,Auction/Bidding
533,Pattern Building
533,Network and Route Building
533,Pattern Recognition
533,Tile Placement
551,Dice Rolling
551,Hand Management
551,Hexagon Grid
551,Modular Board
551,Command Cards
552,Action Points
552,Network and Route Building
552,Turn Order: Progressive
552,Pick-up and Deliver
552,Action Queue
552,Turn Order: Claim Action
553,Set Collection
553,Take That
553,Variable Player Powers
554,Modular Board
554,Open Drafting
554,Tile Placement
554,Commodity Speculation
554,Area Majority / Influence
555,Auction/Bidding
555,End Game Bonuses
555,Grid Coverage
555,Tile Placement
555,Victory Points as a Resource
559,Tile Placement
559,Network and Route Building
568,Trick-taking
568,Hand Management
586,Variable Player Powers
586,Simulation
586,Relative Movement
586,Hand Management
586,Campaign / Battle Card Driven
590,Take That
590,Hand Management
590,Team-Based Game
592,Predictive Bid
592,Team-Based Game
592,Trick-taking
594,Hand Management
594,Deduction
594,Memory
594,Paper-and-Pencil
602,Ladder Climbing
602,Trick-taking
614,Pattern Building
614,Grid Movement
614,Memory
619,Trick-taking
619,Score-and-Reset Game
619,Hot Potato
621,Auction/Bidding
621,Team-Based Game
624,Race
624,Square Grid
624,Connections
624,Grid Movement
632,Betting and Bluffing
632,Push Your Luck
632,Dice Rolling
632,Track Movement
632,Hand Management
634,Action Queue
634,Point to Point Movement
634,Simultaneous Action Selection
635,Hand Management
635,Dice Rolling
635,Relative Movement
638,Hand Management
638,Secret Unit Deployment
638,Action Points
651,Open Drafting
651,Set Collection
681,Square Grid
681,Pattern Recognition
681,Pattern Building
681,Open Drafting
699,Dice Rolling
699,Grid Movement
699,Modular Board
699,Role Playing
699,Roll / Spin and Move
699,Die Icon Resolution
700,Chit-Pull System
700,Turn Order: Random
700,Hexagon Grid
700,Grid Movement
700,Die Icon Resolution
700,Dice Rolling
706,Hexagon Grid
706,Movement Points
706,Ratio / Combat Results Table
706,Scenario / Mission / Campaign Game
706,Grid Movement
706,Dice Rolling
712,Dice Rolling
712,Variable Player Powers
712,Grid Movement
713,Take That
713,Hand Management
713,Action Queue
715,Elapsed Real Time Ending
715,Grid Movement
715,Hexagon Grid
715,Open Drafting
715,Set Collection
715,Roll / Spin and Move
736,Auction/Bidding
756,Paper-and-Pencil
760,Hand Management
760,Card Play Conflict Resolution
760,Melding and Splaying
764,Unknown
770,Card Play Conflict Resolution
770,Hand Management
770,Team-Based Game
789,Grid Movement
804,Player Elimination
804,Roll / Spin and Move
804,Dice Rolling
804,Modular Board
804,Take That
811,Tile Placement
811,Set Collection
814,Pattern Building
814,Tile Placement
815,Push Your Luck
815,Modular Board
815,Hand Management
815,Solo / Solitaire Game
816,Auction/Bidding
816,Network and Route Building
816,Stock Holding
816,Pick-up and Deliver
822,Tile Placement
822,Area Majority / Influence
822,Map Addition
822,Pattern Recognition
823,Hand Management
823,Player Elimination
823,Set Collection
823,Variable Player Powers
823,Dice Rolling
823,Cooperative Game
826,Catch the Leader
826,Resource to Move
826,Race
826,Action Points
826,Modular Board
826,Hand Management
833,Dice Rolling
833,Simulation
833,Point to Point Movement
833,Campaign / Battle Card Driven
834,Unknown
855,Action Points
855,Area Majority / Influence
855,Layering
855,Tile Placement
869,Dice Rolling
869,Pattern Recognition
875,Pick-up and Deliver
875,Modular Board
875,Line Drawing
875,Network and Route Building
875,Grid Movement
878,Hand Management
878,Set Collection
883,Hand Management
883,Set Collection
883,Take That
883,Auction/Bidding
891,Team-Based Game
891,Roll / Spin and Move
891,Paper-and-Pencil
891,Line Drawing
891,Singing
891,Acting
903,Stacking and Balancing
903,Team-Based Game
904,Auction: Turn Order Until Pass
904,Victory Points as a Resource
904,Auction/Bidding
904,Closed Economy Auction
904,End Game Bonuses
908,Square Grid
908,Variable Player Powers
908,Variable Set-up
908,Grid Movement
915,Area Movement
915,Dice Rolling
915,Events
915,Hand Management
915,Set Collection
915,Paper-and-Pencil
917,Pattern Building
917,Ordering
925,Player Elimination
925,Negotiation
925,Hidden Roles
925,Role Playing
925,Roles with Asymmetric Information
925,Team-Based Game
929,Ladder Climbing
929,Hand Management
938,Roll / Spin and Move
938,Memory
939,Simultaneous Action Selection
939,Dice Rolling
939,Command Cards
939,Campaign / Battle Card Driven
943,Speed Matching
943,Pattern Building
943,Real-Time
943,Ordering
980,Open Drafting
980,Set Collection
986,Matching
986,Hand Management
986,Pattern Recognition
986,Set Collection
986,Take That
986,Zone of Control
1032,Scenario / Mission / Campaign Game
1032,Dice Rolling
1032,Area Movement
1032,Ratio / Combat Results Table
1032,Paper-and-Pencil
1032,Events
1036,Dice Rolling
1036,Commodity Speculation
1036,Hand Management
1036,Memory
1036,Stock Holding
1038,Tile Placement
1038,Pattern Building
1041,Area Majority / Influence
1041,Open Drafting
1041,"I Cut, You Choose"
1042,Take That
1042,Hand Management
1042,Trading
1042,Set Collection
1044,Grid Movement
1044,Line of Sight
1044,Modular Board
1044,Hexagon Grid
1044,Scenario / Mission / Campaign Game
1044,Action Queue
1070,Roll / Spin and Move
1070,Cooperative Game
1070,Team-Based Game
