id,categories
770,Nautical
770,Pirates
770,Card Game
789,Abstract Strategy
804,Fighting
804,Racing
804,Science Fiction
811,Number
811,Children's Game
811,Card Game
811,Abstract Strategy
814,Abstract Strategy
814,Card Game
815,Science Fiction
815,Political
815,Educational
815,Deduction
815,Card Game
815,Bluffing
816,Trains
816,Transportation
816,Science Fiction
816,Space Exploration
816,Economic
822,Medieval
822,City Building
822,Territory Building
823,Fantasy
823,Adventure
823,Novel-based
826,Pirates
826,Nautical
833,American Civil War
833,Civil War
833,Wargame
833,Post-Napoleonic
834,Trivia
834,Party Game
834,Educational
834,Card Game
855,City Building
869,Dice
869,Animals
875,Civilization
875,Transportation
875,Industry / Manufacturing
875,City Building
875,Economic
878,Card Game
878,American West
883,Medieval
883,Fighting
883,Card Game
891,Word Game
891,Party Game
891,Puzzle
891,Trivia
903,Action / Dexterity
904,Movies / TV / Radio theme
908,Animals
915,Deduction
915,Religious
915,Medieval
915,Murder/Mystery
917,Number
917,Puzzle
917,Card Game
925,Negotiation
925,Murder/Mystery
925,Party Game
925,Deduction
925,Bluffing
925,Horror
929,Card Game
929,Medieval
938,Children's Game
938,Memory
938,Deduction
938,Card Game
938,Adventure
938,Fantasy
939,Wargame
939,Movies / TV / Radio theme
939,Miniatures
939,Science Fiction
939,Fighting
943,Real-time
943,Card Game
980,Mafia
980,Card Game
980,Farming
986,Ancient
986,Card Game
986,City Building
1032,Wargame
1032,World War II
1032,Aviation / Flight
1036,Economic
1038,Abstract Strategy
1038,Puzzle
1041,Political
1041,Medieval
1042,Fighting
1042,Card Game
1042,Fantasy
1042,Bluffing
1042,Negotiation
1044,American West
1044,Wargame
1044,Fighting
1070,Party Game
1070,Fantasy
1070,Children's Game
1099,Abstract Strategy
1099,Maze
1099,Memory
1107,Card Game
1107,Animals
1111,Word Game
1111,Real-time
1111,Party Game
1117,Animals
1117,Card Game
1117,Humor
1117,Bluffing
1120,Racing
1125,Economic
1150,Miniatures
1150,Medieval
1150,Wargame
1163,Dice
1163,Bluffing
1190,Abstract Strategy
1197,Children's Game
1197,Card Game
1197,Action / Dexterity
1197,Real-time
1198,Puzzle
1198,Card Game
1218,Racing
1218,Maze
1218,Fantasy
1218,Children's Game
1219,Children's Game
1219,Maze
1219,Puzzle
1231,Party Game
1231,Action / Dexterity
1234,Humor
1234,Real-time
1234,Party Game
1234,Card Game
1245,Memory
