id,subdomain
2464,Wargames
2471,Thematic Games
2507,Strategy Games
2511,Thematic Games
2536,Family Games
2541,Family Games
2569,Family Games
2578,Family Games
2582,Party Games
2593,Party Games
2593,Family Games
2596,Family Games
2604,Party Games
2629,Children's Games
2633,Family Games
2651,Strategy Games
2652,Party Games
2653,Family Games
2655,Abstract Games
2679,Children's Games
2719,Abstract Games
2719,Children's Games
2728,Abstract Games
2767,Children's Games
2770,Abstract Games
2770,Family Games
2792,Children's Games
2794,Family Games
2808,Wargames
2818,Family Games
2842,Family Games
2843,Unknown
2884,Abstract Games
2911,Abstract Games
2921,Family Games
2922,Party Games
2944,Party Games
2944,Children's Games
2952,Family Games
2952,Party Games
2955,Strategy Games
2965,Abstract Games
2978,Abstract Games
2987,Family Games
3076,Strategy Games
3084,Family Games
3085,Family Games
3093,Children's Games
3093,Family Games
3097,Strategy Games
3141,Family Games
3181,Family Games
3190,Abstract Games
3201,Strategy Games
3228,Abstract Games
3242,Family Games
3243,Family Games
3284,Thematic Games
3318,Family Games
3319,Abstract Games
3337,Family Games
3337,Party Games
3347,Family Games
3377,Party Games
3383,Children's Games
3383,Family Games
3406,Abstract Games
3421,Family Games
3422,Family Games
3439,Customizable Games
3522,Party Games
3522,Children's Games
3534,Strategy Games
3565,Thematic Games
3565,Wargames
3570,Children's Games
3586,Children's Games
3586,Family Games
3597,Thematic Games
3632,Family Games
3685,Wargames
3699,Family Games
3706,Abstract Games
3706,Family Games
3711,Wargames
3720,Family Games
3720,Thematic Games
3728,Children's Games
3737,Children's Games
3804,Children's Games
3818,Party Games
3837,Children's Games
3837,Family Games
3845,Children's Games
3874,Abstract Games
3889,Children's Games
3934,Children's Games
3934,Family Games
3945,Children's Games
3945,Family Games
3955,Party Games
3986,Wargames
4008,Wargames
4040,Abstract Games
4095,Thematic Games
4098,Strategy Games
4112,Abstract Games
4123,Unknown
4143,Children's Games
4154,Customizable Games
4174,Party Games
4209,Children's Games
4282,Party Games
4376,Unknown
4390,Family Games
4396,Strategy Games
4396,Family Games
4491,Strategy Games
4491,Thematic Games
4493,Children's Games
4519,Unknown
4610,Strategy Games
4610,Family Games
4636,Abstract Games
4637,Children's Games
4642,Unknown
4643,Abstract Games
4688,Wargames
4694,Unknown
4853,Family Games
4862,Party Games
4888,Children's Games
4907,Family Games
4907,Children's Games
4953,Family Games
5048,Children's Games
5130,Family Games
5130,Children's Games
5157,Abstract Games
5241,Wargames
5243,Abstract Games
5259,Children's Games
5259,Family Games
5306,Thematic Games
5306,Family Games
5339,Children's Games
5354,Children's Games
5393,Party Games
5404,Strategy Games
5406,Strategy Games
5419,Strategy Games
5585,Family Games
5588,Children's Games
5716,Family Games
5737,Strategy Games
5740,Thematic Games
5740,Strategy Games
5749,Children's Games
5758,Children's Games
5770,Children's Games
5772,Party Games
5782,Family Games
5867,Family Games
5869,Strategy Games
5894,Party Games
5895,Children's Games
5966,Unknown
6010,Children's Games
6249,Family Games
6249,Strategy Games
6263,Family Games
6272,Abstract Games
6272,Children's Games
6272,Wargames
6284,Children's Games
6351,Children's Games
6366,Thematic Games
6381,Children's Games
6411,Abstract Games
6472,Wargames
6472,Strategy Games
6535,Children's Games
6541,Party Games
6549,Children's Games
6581,Wargames
6644,Family Games
6688,Strategy Games
6714,Children's Games
6748,Family Games
6748,Party Games
6830,Abstract Games
6931,Abstract Games
6932,Children's Games
6955,Family Games
7262,Family Games
7262,Children's Games
7308,Children's Games
7475,Family Games
7480,Wargames
7688,Children's Games
7708,Children's Games
7717,Strategy Games
7717,Family Games
7803,Family Games
7805,Family Games
7806,Family Games
7854,Abstract Games
7865,Family Games
7866,Family Games
7935,Strategy Games
8045,Strategy Games
8051,Strategy Games
8098,Party Games
8125,Strategy Games
8129,Family Games
8147,Family Games
8172,Party Games
8190,Strategy Games
8195,Children's Games
8203,Abstract Games
8203,Family Games
8217,Strategy Games
8229,Abstract Games
8243,Abstract Games
8250,Wargames
8320,Wargames
8481,Wargames
8552,Family Games
8730,Wargames
8790,Party Games
8829,Party Games
8920,Family Games
8924,Children's Games
8924,Party Games
8944,Unknown
8946,Abstract Games
8964,Children's Games
8989,Strategy Games
9004,Children's Games
9027,Strategy Games
9028,Family Games
9201,Family Games
9209,Family Games
9216,Strategy Games
9217,Strategy Games
9220,Family Games
9220,Party Games
9251,Children's Games
9388,Family Games
9440,Strategy Games
9441,Family Games
9441,Children's Games
9446,Strategy Games
9446,Customizable Games
9539,Party Games
9559,Children's Games
9577,Wargames
9597,Children's Games
9609,Thematic Games
9609,Wargames
9616,Abstract Games
9616,Strategy Games
9625,Strategy Games
9674,Abstract Games
9823,Wargames
9852,Children's Games
10140,Unknown
10206,Party Games
10206,Family Games
10272,Wargames
10445,Customizable Games
10453,Children's Games
10547,Thematic Games
10550,Family Games
10630,Wargames
10681,Children's Games
10814,Family Games
10934,Party Games
11104,Party Games
11104,Family Games
11168,Wargames
11170,Customizable Games
11170,Thematic Games
11231,Children's Games
11231,Family Games
11394,Children's Games
11396,Abstract Games
11618,Children's Games
11618,Family Games
11634,Family Games
11634,Abstract Games
11778,Children's Games
11825,Wargames
11945,Party Games
11971,Party Games
11973,Unknown
12002,Strategy Games
12005,Family Games
12157,Party Games
12171,Family Games
12318,Family Games
12333,Wargames
12333,Strategy Games
12346,Children's Games
12493,Strategy Games
12493,Thematic Games
12495,Strategy Games
12589,Family Games
12589,Strategy Games
12616,Children's Games
12681,Strategy Games
12692,Thematic Games
12750,Strategy Games
12826,Children's Games
12891,Wargames
12902,Strategy Games
12902,Family Games
12920,Unknown
12942,Family Games
12962,Strategy Games
12995,Strategy Games
12996,Children's Games
13004,Family Games
13122,Strategy Games
13164,Children's Games
